symbol,date,open,high,low,close
IF8888,2026-01-01,4050,4068,4038,4040
IF8888,2026-01-02,4042,4050,4010,4020
IF8888,2026-01-05,4022,4030,3985,3990
IF8888,2026-01-06,3988,4005,3960,3970
IF8888,2026-01-07,3975,3990,3968,3985
IF8888,2026-01-08,3992,4045,3988,4030
IF8888,2026-01-09,4035,4095,4032,4080
IF8888,2026-01-12,4088,4140,4080,4120
IF8888,2026-01-13,4118,4132,4088,4090
IF8888,2026-01-14,4082,4098,4040,4050
IF8888,2026-01-15,4048,4055,3995,4005
IF8888,2026-01-16,4002,4010,3948,3960
IF8888,2026-01-19,3950,3965,3915,3930
IF8888,2026-01-20,3935,3975,3928,3968
IF8888,2026-01-21,3970,4020,3965,4012
IF8888,2026-01-22,4015,4075,4012,4060

